County,Population,MedicalSales,RetailSales,TotalSales,TXSalesTax,LicenseFees,TotalTaxFees
Franklin,10766,765893.24,610755.18,1376540.76,113581.3,23146.9,136082.24
Freestone,19808,1409141.12,1123707.84,2532650.88,208974.4,42587.2,250373.12
Frio,19816,1409710.24,1124161.68,2533673.76,209058.8,42604.4,250474.24
Gaines,20901,1486897.14,1185713.73,2672401.86,220505.55,44937.15,264188.64
Galveston,337890,24037494.6,19168499.7,43202615.4,3564739.5,726463.5,4270929.6
Garza,6578,467958.92,373169.94,841063.08,69397.9,14142.7,83145.92
Gillespie,26804,1906836.56,1520590.92,3427159.44,282782.2,57628.6,338802.56
Glasscock,1388,98742.32,78741.24,177469.68,14643.4,2984.2,17544.32
Goliad,7584,539525.76,430240.32,969690.24,80011.2,16305.6,95861.76
Gonzales,20826,1481561.64,1181458.98,2662812.36,219714.3,44775.9,263240.64
Gray,21895,1557610.3,1242103.35,2799494.7,230992.25,47074.25,276752.8
Grayson,133991,9532119.74,7601309.43,17132089.26,1413605.05,288080.65,1693646.24
Gregg,123707,8800515.98,7017898.11,15817177.02,1305108.85,265970.05,1563656.48
Grimes,28360,2017530.4,1608862.8,3626109.6,299198,60974,358470.4
Guadalupe,163694,11645191.16,9286360.62,20929914.84,1726971.7,351942.1,2069092.16
Hale,33830,2406666.2,1919175.9,4325503.8,356906.5,72734.5,427611.2
Hall,3028,215411.92,171778.44,387160.08,31945.4,6510.2,38273.92
Hamilton,8484,603551.76,481297.32,1084764.24,89506.2,18240.6,107237.76
Hansford,5463,388637.82,309915.99,698499.18,57634.65,11745.45,69052.32
Hardeman,3922,279011.08,222495.06,501466.92,41377.1,8432.3,49574.08
Hardin,57207,4069705.98,3245353.11,7314487.02,603533.85,122995.05,723096.48
Harris,4698619,334259755.7,266552655.9,600765425.3,49570430.45,10102030.85,59390544.16
Harrison,66726,4746887.64,3785365.98,8531586.36,703959.3,143460.9,843416.64
Hartley,5619,399735.66,318765.87,718445.34,59280.45,12080.85,71024.16
Haskell,5813,413536.82,329771.49,743250.18,61327.15,12497.95,73476.32
Hays,222631,15837969.34,12629856.63,28465599.66,2348757.05,478656.65,2814055.84
Hemphill,3825,272110.5,216992.25,489064.5,40353.75,8223.75,48348
Henderson,82299,5854750.86,4668822.27,10522750.14,868254.45,176942.85,1040259.36
Hidalgo,865939,61602900.46,49124719.47,110718960.5,9135656.45,1861768.85,10945468.96
Hill,36354,2586223.56,2062362.42,4648222.44,383534.7,78161.1,459514.56
Hockley,22980,1634797.2,1303655.4,2938222.8,242439,49407,290467.2
Hood,60537,4306602.18,3434264.01,7740260.82,638665.35,130154.55,765187.68
Hopkins,36810,2618663.4,2088231.3,4706526.6,388345.5,79141.5,465278.4
Houston,23169,1648242.66,1314377.37,2962388.34,244432.95,49813.35,292856.16
Howard,36459,2593693.26,2068319.07,4661647.74,384642.45,78386.85,460841.76
Hudspeth,4795,341116.3,272020.35,613088.7,50587.25,10309.25,60608.8
Hunt,96493,6864512.02,5474047.89,12337594.98,1018001.15,207459.95,1219671.52
Hutchinson,21198,1508025.72,1202562.54,2710376.28,223638.9,45575.7,267942.72
Irion,1522,108275.08,86343.06,194602.92,16057.1,3272.3,19238.08
Jack,8843,629091.02,501663.39,1130665.98,93293.65,19012.45,111775.52
Jackson,14874,1058136.36,843802.02,1901789.64,156920.7,31979.1,188007.36
Jasper,35872,2551934.08,2035018.56,4586593.92,378449.6,77124.8,453422.08
Jeff Davis,2252,160207.28,127755.96,287940.72,23758.6,4841.8,28465.28
Jefferson,255001,18140771.14,14466206.73,32604427.86,2690260.55,548252.15,3223212.64
Jim Hogg,5248,373342.72,297719.04,671009.28,55366.4,11283.2,66334.72
Jim Wells,40822,2904077.08,2315832.06,5219500.92,430672.1,87767.3,515990.08
Johnson,171361,12190621.54,9721309.53,21910217.46,1807858.55,368426.15,2166003.04
Jones,19817,1409781.38,1124218.41,2533801.62,209069.35,42606.55,250486.88
Karnes,15650,1113341,887824.5,2001009,165107.5,33647.5,197816
Kaufman,128622,9150169.08,7296726.06,16445608.92,1356962.1,276537.3,1625782.08
Kendall,45641,3246900.74,2589213.93,5835658.26,481512.55,98128.15,576902.24
Kenedy,442,31443.88,25074.66,56514.12,4663.1,950.3,5586.88
Kent,726,51647.64,41185.98,92826.36,7659.3,1560.9,9176.64
Kerr,52405,3728091.7,2972935.65,6700503.3,552872.75,112670.75,662399.2
Kimble,4362,310312.68,247456.26,557725.32,46019.1,9378.3,55135.68
King,277,19705.78,15714.21,35417.22,2922.35,595.55,3501.28
Kinney,3767,267984.38,213701.91,481648.62,39741.85,8099.05,47614.88
Kleberg,31129,2214517.06,1765948.17,3980153.94,328410.95,66927.35,393470.56
Knox,3653,259874.42,207234.69,467072.58,38539.15,7853.95,46173.92
La Salle,7531,535755.34,427233.63,962913.66,79452.05,16191.65,95191.84
Lamar,49728,3537649.92,2821069.44,6358222.08,524630.4,106915.2,628561.92
Lamb,13158,936060.12,746453.34,1682381.88,138816.9,28289.7,166317.12
Lampasas,21229,1510231.06,1204321.17,2714339.94,223965.95,45642.35,268334.56
Lavaca,20110,1430625.4,1140840.3,2571264.6,212160.5,43236.5,254190.4
Lee,17144,1219624.16,972579.12,2192031.84,180869.2,36859.6,216700.16
Leon,17270,1228587.8,979727.1,2208142.2,182198.5,37130.5,218292.8
Liberty,86323,6141018.22,4897103.79,11037258.78,910707.65,185594.45,1091122.72
Limestone,23519,1673141.66,1334232.87,3007139.34,248125.45,50565.85,297280.16
Lipscomb,3355,238674.7,190329.15,428970.3,35395.25,7213.25,42407.2
Live Oak,12166,865489.24,690177.18,1555544.76,128351.3,26156.9,153778.24
Llano,21646,1539896.44,1227977.58,2767657.56,228365.3,46538.9,273605.44
Loving,152,10813.28,8622.96,19434.72,1603.6,326.8,1921.28
Lubbock,307412,21869289.68,17439482.76,39305698.32,3243196.6,660935.8,3885687.68
Lynn,5877,418089.78,333402.21,751433.22,62002.35,12635.55,74285.28
Madison,14422,1025981.08,818160.06,1843996.92,152152.1,31007.3,182294.08
Marion,9928,706277.92,563215.44,1269394.08,104740.4,21345.2,125489.92
Martin,5753,409268.42,326367.69,735578.58,60694.15,12368.95,72717.92
Mason,4280,304479.2,242804.4,547240.8,45154,9202,54099.2
Matagorda,36552,2600309.28,2073594.96,4673538.72,385623.6,78586.8,462017.28
Maverick,58485,4160622.9,3317854.05,7477892.1,617016.75,125742.75,739250.4
Mcculloch,7987,568195.18,453102.51,1021217.82,84262.85,17172.05,100955.68
Mclennan,254607,18112741.98,14443855.11,32554051.02,2686103.85,547405.05,3218232.48
Mcmullen,749,53283.86,42490.77,95767.14,7901.95,1610.35,9467.36
Medina,50921,3622519.94,2888748.33,6510759.06,537216.55,109480.15,643641.44
Menard,2139,152168.46,121345.47,273492.54,22566.45,4598.85,27036.96
Midland,172578,12277198.92,9790349.94,22065823.08,1820697.9,371042.7,2181385.92
Milam,25131,1787819.34,1425681.63,3213249.66,265132.05,54031.65,317655.84
Mills,4921,350079.94,279168.33,629199.06,51916.55,10580.15,62201.44
Mitchell,8145,579435.3,462065.85,1041419.7,85929.75,17511.75,102952.8
Montague,19596,1394059.44,1111681.08,2505544.56,206737.8,42131.4,247693.44
Montgomery,590925,42038404.5,33523175.25,75555670.5,6234258.75,1270488.75,7469292
Moore,21485,1528442.9,1218844.05,2747072.1,226666.75,46192.75,271570.4
Morris,12339,877796.46,699991.47,1577664.54,130176.45,26528.85,155964.96
Motley,1234,87786.76,70004.82,157779.24,13018.7,2653.1,15597.76
Nacogdoches,65711,4674680.54,3727785.03,8401808.46,693251.05,141278.65,830587.04
Navarro,49565,3526054.1,2811822.45,6337380.9,522910.75,106564.75,626501.6
Newton,13746,977890.44,779810.58,1757563.56,145020.3,29553.9,173749.44
Nolan,14751,1049386.14,836824.23,1886062.86,155623.05,31714.65,186452.64
Nueces,362265,25771532.1,20551293.45,46319202.9,3821895.75,778869.75,4579029.6
Ochiltree,9947,707629.58,564293.31,1271823.42,104940.85,21386.05,125730.08
Oldham,2131,151599.34,120891.63,272469.66,22482.05,4581.65,26935.84
Orange,83572,5945312.08,4741039.56,10685515.92,881684.6,179679.8,1056350.08
Palo Pinto,28875,2054167.5,1638078.75,3691957.5,304631.25,62081.25,364980
Panola,23148,1646748.72,1313186.04,2959703.28,244211.4,49768.2,292590.72
Parker,138371,9843712.94,7849786.83,17692116.06,1459814.05,297497.65,1749009.44
Parmer,9864,701724.96,559584.72,1261211.04,104065.2,21207.6,124680.96
Pecos,15673,1114977.22,889129.29,2003949.78,165350.15,33696.95,198106.72
Polk,50031,3559205.34,2838258.63,6396963.66,527827.05,107566.65,632391.84
Potter,119648,8511758.72,6787631.04,15298193.28,1262286.4,257243.2,1512350.72
Presidio,6948,494280.72,394160.04,888371.28,73301.4,14938.2,87822.72
Rains,12159,864991.26,689780.07,1554649.74,128277.45,26141.85,153689.76
Randall,136271,9694318.94,7730653.83,17423610.06,1437659.05,292982.65,1722465.44
Reagan,3741,266134.74,212226.93,478324.26,39467.55,8043.15,47286.24
Real,3478,247424.92,197306.94,444697.08,36692.9,7477.7,43961.92
Red River,12175,866129.5,690687.75,1556695.5,128446.25,26176.25,153892
Reeves,15695,1116542.3,890377.35,2006762.7,165582.25,33744.25,198384.8
Refugio,7032,500256.48,398925.36,899111.52,74187.6,15118.8,88884.48
Roberts,903,64239.42,51227.19,115457.58,9526.65,1941.45,11413.92
Robertson,17284,1229583.76,980521.32,2209932.24,182346.2,37160.6,218469.76
Rockwall,100657,7160738.98,5710271.61,12870004.02,1061931.35,216412.55,1272304.48
Runnels,10234,728046.76,580574.82,1308519.24,107968.7,22003.1,129357.76
Rusk,54450,3873573,3088948.5,6961977,574447.5,117067.5,688248
Sabine,10589,753301.46,600713.97,1353909.54,111713.95,22766.35,133844.96
San Augustine,8232,585624.48,467001.36,1052543.52,86847.6,17698.8,104052.48
San Jacinto,28719,2043069.66,1629228.87,3672011.34,302985.45,61745.85,363008.16
San Patricio,66893,4758768.02,3794839.89,8552938.98,705721.15,143819.95,845527.52
San Saba,6054,430681.56,343443.42,774064.44,63869.7,13016.1,76522.56
Schleicher,2895,205950.3,164233.35,370154.7,30542.25,6224.25,36592.8
Scurry,16866,1199847.24,956808.18,2156486.76,177936.3,36261.9,213186.24
Shackelford,3253,231418.42,184542.69,415928.58,34319.15,6993.95,41117.92
Shelby,25418,1808236.52,1441963.14,3249945.48,268159.9,54648.7,321283.52
Sherman,3079,219040.06,174671.67,393680.94,32483.45,6619.85,38918.56
Smith,230221,16377921.94,13060437.33,29436057.06,2428831.55,494975.15,2909993.44
Somervell,9016,641398.24,511477.68,1152785.76,95118.8,19384.4,113962.24
Starr,64525,4590308.5,3660503.25,8250166.5,680738.75,138728.75,815596
Stephens,9433,671063.62,535134.09,1206103.38,99518.15,20280.95,119233.12
Sterling,1311,93264.54,74373.03,167624.46,13831.05,2818.65,16571.04
Stonewall,1362,96892.68,77266.26,174145.32,14369.1,2928.3,17215.68
Sutton,3758,267344.12,213191.34,480497.88,39646.9,8079.7,47501.12
Swisher,7462,530846.68,423319.26,954091.32,78724.1,16043.3,94319.68
Tarrant,2084931,148321991.3,118278135.6,266579277.7,21996022.05,4482601.65,26353527.84
Taylor,137640,9791709.6,7808317.2,17598650.4,1452102,295926,1739769.6
Terrell,823,58548.22,46688.79,105228.78,8682.65,1769.45,10402.72
Terry,12287,874097.18,697041.51,1571015.82,129627.85,26417.05,155307.68
Throckmorton,1515,107777.1,85945.95,193707.9,15983.25,3257.25,19149.6
Titus,33033,2349967.62,1873962.09,4223599.38,348498.15,71020.95,417537.12
Tom Green,118189,8407965.46,6704861.97,15111645.54,1246893.95,254106.35,1493908.96
Travis,1248743,88835577.02,70841190.39,159664280,13174238.65,2684797.45,15784111.52
Trinity,14740,1048603.6,836200.2,1884656.4,155507,31691,186313.6
Tyler,21696,1543453.44,1230814.08,2774050.56,228892.8,46646.4,274237.44
Upshur,41260,2935236.4,2340679.8,5275503.6,435293,88709,521526.4
Upton,3671,261154.94,208255.83,469374.06,38729.05,7892.65,46401.44
Uvalde,26846,1909824.44,1522973.58,3432529.56,283225.3,57718.9,339333.44
Val Verde,49208,3500657.12,2791569.84,6291734.88,519144.4,105797.2,621989.12
Van Zandt,56019,3985191.66,3177957.87,7162589.34,591000.45,120440.85,708080.16
Victoria,92035,6547369.9,5221145.55,11767595.1,970969.25,197875.25,1163322.4
Walker,72480,5156227.2,4111790.4,9267292.8,764664,155832,916147.2
Waller,53126,3779383.64,3013837.98,6792690.36,560479.3,114220.9,671512.64
Ward,11720,833760.8,664875.6,1498519.2,123646,25198,148140.8
Washington,35108,2497583.12,1991676.84,4488908.88,370389.4,75482.2,443765.12
Webb,275910,19628237.4,15652374.3,35277852.6,2910850.5,593206.5,3487502.4
Wharton,41619,2960775.66,2361045.87,5321405.34,439080.45,89480.85,526064.16
Wheeler,5191,369287.74,294485.43,663721.26,54765.05,11160.65,65614.24
Wichita,132064,9395032.96,7491990.72,16885703.04,1393275.2,283937.6,1669288.96
Wilbarger,12820,912014.8,727278.6,1639165.2,135251,27563,162044.8
Willacy,21515,1530577.1,1220545.95,2750907.9,226983.25,46257.25,271949.6
Williamson,566719,40316389.66,32149968.87,72460691.34,5978885.45,1218445.85,7163328.16
Wilson,50224,3572935.36,2849207.52,6421640.64,529863.2,107981.6,634831.36
Winkler,7720,549200.8,437955.6,987079.2,81446,16598,97580.8
Wise,68305,4859217.7,3874942.65,8733477.3,720617.75,146855.75,863375.2
Wood,45129,3210477.06,2560168.17,5770193.94,476110.95,97027.35,570430.56
Yoakum,8591,611163.74,487367.43,1098445.26,90635.05,18470.65,108590.24
Young,18045,1283721.3,1023692.85,2307233.7,190374.75,38796.75,228088.8
Zapata,14190,1009476.6,804998.7,1814333.4,149704.5,30508.5,179361.6
Zavala,11983,852470.62,679795.59,1532146.38,126420.65,25763.45,151465.12
