Population Estimates by County,
County,Population
Van Zandt County,"56,019"
Victoria County,"92,035"
Walker County,"72,480"
Waller County,"53,126"
Ward County,"11,720"
Washington County,"35,108"
Webb County,"275,910"
Wharton County,"41,619"
Wheeler County,"5,191"
Wichita County,"132,064"
Wilbarger County,"12,820"
Willacy County,"21,515"
Williamson County,"566,719"
Wilson County,"50,224"
Winkler County,"7,720"
Wise County,"68,305"
Wood County,"45,129"
Yoakum County,"8,591"
Young County,"18,045"
Zapata County,"14,190"
Zavala County,"11,983"
"Source(s): U.S. Census Bureau, Vintage 2018 Population Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ",
